lat;long;featured
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;A
46.2283204;6.070988;B
46.2283204;6.070988;A
46.1945378;6.0710132;A
46.1761562;6.0710908999999;A
46.228691501854;6.0712454920654;B
46.1732313;6.0713149000001;A
46.2281053;6.0713355;A
46.2289055;6.0713766;A
46.1681965;6.0715977;A
46.173100386712;6.0717212967895;A
46.1746559;6.0717678;A
46.22901806941;6.0719106799011;A
46.174675423535;6.0719144158386;A
46.1735363;6.0719816;A
46.173078131718;6.071990258197;A
46.2338248;6.0722852;A
46.226091172927;6.0724349605127;A
46.1635556;6.0724653;A
46.178077943434;6.0725045018219;A
46.1745343;6.0725267;A
46.2296688;6.0727615;A
46.2296688;6.0727615;A
46.2301145;6.0728498;A
46.230824;6.0730566;A
46.230824;6.0730566;A
46.230824;6.0730566;B
46.1930748;6.0732268;A
46.465143019742;6.0732517473603;A
46.231043;6.0733103;A
46.231043;6.0733103;A
